service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
881,0,0,0,0,0,1,0,2026-06-23,2026-09-21
895,0,0,0,0,0,1,0,2026-06-23,2026-09-21
898,0,0,0,0,0,1,0,2026-06-23,2026-09-21
904,0,0,0,0,0,1,0,2026-06-23,2026-09-21
905,0,0,0,0,0,1,0,2026-06-23,2026-09-21
910,0,0,0,0,0,1,0,2026-06-23,2026-09-21
919,0,0,0,0,0,1,0,2026-06-23,2026-09-21
929,0,0,0,0,0,1,0,2026-06-23,2026-09-21
954,0,0,0,0,0,1,0,2026-06-23,2026-09-21
955,0,0,0,0,0,1,0,2026-06-23,2026-09-21
957,0,0,0,0,0,1,0,2026-06-23,2026-09-21
1007,0,0,0,0,0,1,0,2026-06-23,2026-09-21
1019,0,0,0,0,0,1,0,2026-06-23,2026-09-21
1020,0,0,0,0,0,1,0,2026-06-23,2026-09-21
1021,0,0,0,0,0,1,0,2026-06-23,2026-09-21
1022,0,0,0,0,0,1,0,2026-06-23,2026-09-21
1023,0,0,0,0,0,1,0,2026-06-23,2026-09-21
1025,0,0,0,0,0,1,0,2026-06-23,2026-09-21
1027,0,0,0,0,0,1,0,2026-06-23,2026-09-21
S96761_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125425_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S119120_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125426_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96765_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125427_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S76593_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125428_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S100348_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125429_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96770_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125430_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96773_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125431_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S103395_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125432_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96780_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125433_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S119123_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125434_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S119136_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125435_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S119124_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125436_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S121641_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125437_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S121642_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125438_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96793_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125439_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S100349_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125440_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S119138_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125441_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S119126_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125442_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S119139_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125443_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S95892_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125444_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S121668_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125445_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S119134_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125448_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S119122_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125449_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S119131_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125446_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S119121_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125447_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S121643_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125451_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S121644_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125452_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S100371_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S100371_474,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S100371_477,0,0,0,0,0,1,0,2026-06-23,2026-06-27
S100371_493,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125253_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S125253_474,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S125253_477,0,0,0,0,0,1,0,2026-06-28,2026-09-21
S125253_493,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96721_477,0,0,0,0,0,1,0,2026-06-23,2026-06-27
S96721_493,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125254_477,0,0,0,0,0,1,0,2026-06-28,2026-09-21
S125254_493,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S103016_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125255_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96723_477,0,0,0,0,0,1,0,2026-06-23,2026-06-27
S96723_493,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125256_477,0,0,0,0,0,1,0,2026-06-28,2026-09-21
S125256_493,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96724_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125257_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96725_477,0,0,0,0,0,1,0,2026-06-23,2026-06-27
S96725_493,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125258_477,0,0,0,0,0,1,0,2026-06-28,2026-09-21
S125258_493,1,1,1,1,1,0,0,2026-06-28,2026-09-21
S96726_473,1,1,1,1,1,0,0,2026-06-23,2026-06-27
S125259_473,1,1,1,1,1,0,0,2026-06-28,2026-09-21
