location_type,parent_station,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,supported_modes,iptiscode,_has_coordinates
0,,15662,15662,Altone Rd Before Morley Dr,,-31.8861405555555,115.944416111111,2,Bus,,True
0,,15663,15663,Altone Rd After Morley Dr,,-31.8859046238,115.944291137,2,Bus,,True
0,,15664,15664,Altone Rd After Rosher Rd,,-31.8834305555555,115.944316111111,2,Bus,,True
0,,15665,15665,Altone Rd After Benara Rd,Altone Rd / Benara Rd,-31.8739654967,115.944567284,2,Bus,,True
0,,15666,15666,Altone Rd Before Amazon Dr,Altone Park Shop Ctr,-31.8709366666667,115.944587222222,2,Bus,,True
0,,15667,15667,Altone Rd After Amazon Dr,,-31.8691455555556,115.944591666667,2,Bus,,True
0,,15668,15668,Altone Rd After Vistula Av,Altone Rd / Thorburn Av,-31.8658978545,115.944612114,2,Bus,,True
0,,15669,15669,Altone Rd After Tattler Wy,,-31.8583688888889,115.945481666667,2,Bus,,True
0,,15670,15670,Bennett Springs Dr After Albatross Loop,Bennet Springs Dr / Portland Mews,-31.8577155555556,115.943316111111,2,Bus,,True
0,,15671,15671,Bennett Springs Dr After Lockier Crsg,,-31.8576380677,115.943420237,2,Bus,,True
0,,15672,15672,Bennett Springs Dr After Waterway Pass,,-31.8577231062,115.940691956,2,Bus,,True
0,,15673,15673,Bennett Springs Dr After Portland Mews,,-31.8576426091,115.941020865,2,Bus,,True
0,,15674,15674,Bennett Springs Dr After Goa Vista,,-31.857733936,115.933648005,2,Bus,,True
0,,15675,15675,Bennett Springs Dr After Wintergreene Dr,,-31.8576365472,115.933270871,2,Bus,,True
0,,15681,15681,Lord St After Thorley Wy,,-31.8789538888889,115.955853888889,2,Bus;School Bus,,True
0,,15682,15682,Lord St Before Rosher Rd,,-31.8835306845,115.956446202,2,Bus;School Bus,,True
0,,15683,15683,Lord St After Gallagher St,,-31.8894603003,115.955783986,2,Bus;School Bus,,True
0,,15685,15685,Lord St Before Bradshaw St,,-31.8926068389,115.954692232,2,Bus;School Bus,,True
0,,15686,15686,Lord St After Walter Rd East,,-31.8956494444444,115.954174444444,2,Bus,,True
0,,15687,15687,Lord St Before Walter Rd East,,-31.8960994444444,115.954032222222,2,Bus,,True
0,,15688,15688,Lord St After Bradshaw St,,-31.8924694444444,115.954648333333,2,Bus;School Bus,,True
0,,15689,15689,Lord St After Mary Cr,,-31.8898671703,115.955627912,2,Bus;School Bus,,True
0,,15690,15690,Lord St After Rosher Rd,,-31.8836769662,115.956337826,2,Bus;School Bus,,True
0,,15691,15691,Lord St After Grimrey Rd,,-31.8785360609,115.955768333,2,Bus;School Bus,,True
0,,15698,15698,Thorburn Av After Maguire Av,,-31.8646694444444,115.948488333333,2,Bus,,True
0,,15699,15699,Thorburn Av After Smith St,,-31.8651738888889,115.9454,2,Bus,,True
0,,15700,15700,Thorburn Av After Altone Rd,,-31.8650483333333,115.945612777778,2,Bus,,True
0,,15701,15701,Thorburn Av After Stent St,,-31.8645166666666,115.948532222222,2,Bus,,True
0,,15704,15704,Maguire Av After Carstairs Ct,,-31.8662413005,115.949989252,2,Bus,,True
0,,15705,15705,Maguire Av After Pilkington Crcs,,-31.8680416666667,115.950399444444,2,Bus,,True
0,,15706,15706,Maguire Av Before Carstairs Ct,,-31.8661853884,115.949831203,2,Bus,,True
0,,15707,15707,Cuttler Av After Maguire Av,,-31.8691881534,115.951196696,2,Bus,,True
0,,15708,15708,Barlee Wy After Cuttler Av,Barlee Wy / Cuttler Av,-31.8695651154,115.953149422,2,Bus,,True
0,,15710,15710,Barlee Wy Before Cuttler Av,,-31.8693977777778,115.952967222222,2,Bus,,True
0,,15711,15711,Brockmill Av After Barlee Wy,,-31.8725,115.95342,2,Bus,,True
0,,15712,15712,Brockmill Av After Barlee Wy,,-31.8739649413,115.949401686,2,Bus,,True
0,,15713,15713,Brockmill Av After Barlee Wy,,-31.8737995293,115.949613009,2,Bus,,True
0,,15714,15714,Brockmill Av After Brown Pl,,-31.8723155835,115.953681706,2,Bus,,True
0,,15715,15715,Sturtridge Rd After Benara Rd,Sturtridge Rd / Benara Rd,-31.8763960689,115.952967722,2,Bus,,True
0,,15716,15716,Sturtridge Rd Before Woolgar Wy,,-31.8781177777778,115.953000555556,2,Bus,,True
0,,15717,15717,Sturtridge Rd After Lupton Wy,,-31.8802732813,115.952891425,2,Bus,,True
0,,15718,15718,Sturtridge Rd Before Diana Cr,,-31.8819438888889,115.950297222222,2,Bus,,True
0,,15719,15719,Sturtridge Rd After Lupton Wy,,-31.8794805555556,115.952877222222,2,Bus,,True
0,,15720,15720,Sturtridge Rd After Woolgar Wy,Sturtridge Rd / Benara Rd,-31.877995,115.952890555556,2,Bus,,True
0,,15721,15721,Sturtridge Rd Before Benara Rd,Sturtridge Rd / Benara Rd,-31.8763160647,115.952836717,2,Bus,,True
0,,15727,15727,Diana Cr Before Rosher Rd,,-31.8830956537,115.95005386,2,Bus,,True
0,,15729,15729,Brathwaite Rd After Rosher Rd,,-31.8840905191,115.947650211,2,Bus,,True
0,,15730,15730,Rosher Rd Before Barlow Ct,,-31.88345,115.949557777778,2,Bus,,True
0,,15732,15732,Brathwaite Rd Before Korbosky Rd,,-31.8864569271,115.949388051,2,Bus,,True
0,,15733,15733,Brathwaite Rd After Korbosky Rd,,-31.8867072222222,115.949636666667,2,Bus,,True
0,,15735,15735,Brathwaite Rd Before Rosher Rd,,-31.8840288888889,115.947521666667,2,Bus,,True
0,,15736,15736,Walter Rd East After Beechboro Rd,,-31.8949872222222,115.922549444444,2,Bus,,True
0,,15737,15737,Walter Rd East Before Beechboro Rd,,-31.8947133333334,115.922521666667,2,Bus,,True
0,,15738,15738,Walter Rd East Before Grey St,Walter Rd East / Grey St,-31.8946848492,115.927357361,2,Bus,,True
0,,15739,15739,Walter Rd East After Abingdon St,,-31.8946855555556,115.931219444444,2,Bus,,True
0,,15741,15741,Walter Rd East After Mickleton Tce,,-31.8946841817,115.936469136,2,Bus,,True
0,,15745,15745,Ivanhoe St Before Faulkner Wy,,-31.8889694618,115.947785497,2,Bus,,True
0,,15746,15746,Ivanhoe St After Esther St,,-31.8938644444444,115.946323333333,2,Bus,,True
0,,15747,15747,Ivanhoe St After Walter Rd,,-31.8967432012,115.946297707,2,Bus,,True
0,,15748,15748,Ivanhoe St Before Anzac Tce,,-31.8986576334,115.946288869,2,Bus,,True
0,,15749,15749,Ivanhoe St Before Broadway,,-31.9023804176,115.946285266,2,Bus,,True
0,,15750,15750,Ivanhoe St Before Lukin Wy,,-31.9016076646,115.946145702,2,Bus,,True
0,,15751,15751,Ivanhoe St After Lukin Wy,,-31.8994873037,115.946167357,2,Bus,,True
0,,15752,15752,Ivanhoe St After Anzac Tce,,-31.8968983449,115.946180848,2,Bus,,True
0,,15753,15753,Ivanhoe St After Walter Rd,,-31.8938838888889,115.946183888889,2,Bus,,True
0,,15754,15754,Ivanhoe St Before Faulkner Wy,,-31.8886700113,115.947647248,2,Bus,,True
0,,15764,15764,Danube Av After Parana Cr,,-31.8683772222223,115.938264444444,2,Bus,,True
0,,15765,15765,Amazon Dr After Sacramento Av,,-31.8658316666667,115.935378888889,2,Bus,,True
0,,15766,15766,Amazon Dr After St Lawrence Dr,,-31.8658380199,115.931698681,2,Bus,,True
0,,15767,15767,Amazon Dr After Cherwell Av,,-31.867251358,115.928277529,2,Bus,,True
0,,15769,15769,Amazon Dr After Platte Wy,,-31.8657357581,115.931677954,2,Bus,,True
0,,15770,15770,Amazon Dr After St Lawrence Dr,,-31.8657061111111,115.935378333333,2,Bus,,True
0,,15771,15771,Danube Av After Parana Cr,,-31.8688888888889,115.937865,2,Bus,,True
0,,15774,15774,Danube Av After Darwin Cr,,-31.8725905555556,115.935438333333,2,Bus,,True
0,,15775,15775,Danube Av After Homestead Pl,,-31.8724211111111,115.935376666667,2,Bus,,True
0,,15776,15776,Danube Av After Madeira Av,,-31.8703172222222,115.936211666667,2,Bus,,True
0,,15782,15782,Wattle Dr After Danube Av,,-31.8735672222222,115.933450555556,2,Bus,,True
0,,15783,15783,Wattle Dr Before Laurina Pl,Wattle Dr / Laurina Pl,-31.8739194444444,115.930241666667,2,Bus,,True
0,,15784,15784,Wattle Dr After Hovea Ct,Wattle Dr / Laurina Pl,-31.8738333333333,115.929794444444,2,Bus,,True
0,,15785,15785,Wattle Dr After Ironbark Rd,,-31.8734855555555,115.933386111111,2,Bus,,True
0,,15786,15786,Bottlebrush Dr After Peppermint Pl,,-31.8778011111111,115.932761111111,2,Bus,,True
0,,15787,15787,Bottlebrush Dr After Challenger Av,,-31.8806288888889,115.933576111111,2,Bus,,True
0,,15788,15788,Bottlebrush Dr After Ivythorne Gr,,-31.8835317409,115.93543218,2,Bus,,True
0,,15789,15789,Bottlebrush Dr After Roseheath Bvd,,-31.8855976013,115.938785241,2,Bus,,True
0,,15790,15790,Bottlebrush Dr After Aussat Dr,,-31.8854806238,115.938655871,2,Bus,,True
0,,15791,15791,Bottlebrush Dr After Roseheath Bvd,,-31.8836777769,115.935621156,2,Bus,,True
